nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;143000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;175000;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;195000;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;166000;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;194000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;155000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;150000;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;148000;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;160000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;155000;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;180000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;180000;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;225000;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;175400;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;265000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;254000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;200000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;250700;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;173000;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;190000;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;173000;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;192000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;190000;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;300000;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;286000;"DKI JAKARTA"
